,Year,Selling_Price,Kms_Driven,Fuel_Type,Transmission,Owner,Brand
0,2014,335000.0,27000,Petrol,Manual,First Owner,Maruti
1,2013,475000.0,43000,Diesel,Manual,First Owner,Maruti
2,2017,725000.0,6900,Petrol,Manual,First Owner,Maruti
3,2011,285000.0,5200,Petrol,Manual,First Owner,Maruti
4,2014,459999.99999999994,42450,Diesel,Manual,First Owner,Maruti
5,2018,925000.0,2071,Diesel,Manual,First Owner,Maruti
6,2015,675000.0,18796,Petrol,Manual,First Owner,Maruti
7,2015,650000.0,33429,Diesel,Manual,First Owner,Maruti
8,2016,875000.0,20273,Diesel,Manual,First Owner,Maruti
9,2015,745000.0,42367,Diesel,Manual,First Owner,Maruti
10,2017,285000.0,2135,Petrol,Manual,First Owner,Maruti
11,2015,685000.0,51000,Diesel,Manual,First Owner,Maruti
12,2015,750000.0,15000,Petrol,Automatic,First Owner,Maruti
13,2015,610000.0,26000,Petrol,Manual,First Owner,Maruti
14,2009,225000.0,77427,Petrol,Manual,First Owner,Maruti
15,2016,775000.0,43000,Diesel,Manual,First Owner,Maruti
16,2015,725000.0,41678,Diesel,Manual,First Owner,Maruti
17,2016,775000.0,43000,Diesel,Manual,First Owner,Maruti
18,2015,325000.0,35500,others,Manual,First Owner,Maruti
19,2010,265000.0,41442,Petrol,Manual,First Owner,Maruti
20,2016,285000.0,25000,Petrol,Manual,First Owner,Maruti
21,2017,490000.00000000006,2400,Petrol,Manual,First Owner,Maruti
22,2011,440000.00000000006,50000,Petrol,Automatic,First Owner,Maruti
23,2014,250000.0,45280,Petrol,Manual,First Owner,Maruti
24,2013,290000.0,56879,Petrol,Manual,First Owner,Maruti
25,2011,300000.0,20000,Petrol,Manual,First Owner,Maruti
26,2013,415000.00000000006,55138,Petrol,Manual,First Owner,Maruti
27,2017,600000.0,16200,Petrol,Manual,First Owner,Maruti
28,2010,195000.0,44542,Petrol,Manual,First Owner,Maruti
29,2015,745000.0,45000,Diesel,Manual,First Owner,Maruti
30,2012,310000.0,51439,Diesel,Manual,First Owner,Maruti
31,2011,235000.0,54200,Petrol,Manual,First Owner,Maruti
32,2014,495000.0,39000,Diesel,Manual,First Owner,Maruti
33,2014,600000.0,45000,Diesel,Manual,First Owner,Maruti
34,2014,550000.0,45000,Diesel,Manual,First Owner,Maruti
35,2011,295000.0,49998,others,Manual,First Owner,Maruti
36,2015,465000.00000000006,48767,Petrol,Manual,First Owner,Maruti
37,2003,35000.0,127000,Petrol,Manual,First Owner,Maruti
38,2016,300000.0,10079,Petrol,Manual,First Owner,Maruti
39,2003,225000.0,62000,Petrol,Manual,First Owner,Maruti
40,2016,585000.0,24524,Petrol,Automatic,First Owner,Maruti
41,2014,254999.99999999997,46706,Petrol,Manual,First Owner,Maruti
42,2008,195000.0,58000,Petrol,Manual,First Owner,Maruti
43,2014,550000.0,45780,Diesel,Manual,First Owner,Maruti
44,2012,125000.0,50000,Petrol,Manual,First Owner,Maruti
45,2014,750000.0,15000,Petrol,Automatic,First Owner,Maruti
46,2013,265000.0,64532,Petrol,Manual,First Owner,Maruti
47,2006,105000.0,65000,Petrol,Manual,First Owner,Maruti
48,2015,580000.0,25870,Petrol,Manual,First Owner,Maruti
49,2017,775000.0,37000,Petrol,Automatic,First Owner,Maruti
54,2005,275000.0,90000,Petrol,Manual,First Owner,Others
55,2009,360000.0,70000,Petrol,Automatic,First Owner,Others
56,2015,450000.0,40534,Petrol,Manual,First Owner,Others
57,2010,475000.0,50000,Petrol,Manual,First Owner,Others
58,2014,409999.99999999994,39485,Petrol,Manual,Second Owner,Others
60,2013,695000.0,40001,Petrol,Manual,First Owner,Others
61,2015,450000.0,40588,Petrol,Manual,First Owner,Others
65,2014,475000.0,45000,Diesel,Manual,First Owner,Others
67,2010,925000.0,59000,Diesel,Manual,First Owner,Others
68,2011,434999.99999999994,88000,Petrol,Manual,First Owner,Others
69,2016,1425000.0,12000,Petrol,Manual,First Owner,Others
70,2014,395000.0,71000,Diesel,Manual,First Owner,Others
71,2011,450000.0,45000,Diesel,Manual,First Owner,Others
72,2013,745000.0,56001,Petrol,Manual,First Owner,Others
73,2011,265000.0,43000,Petrol,Manual,First Owner,Others
74,2014,490000.00000000006,83000,Diesel,Manual,First Owner,Others
75,2015,395000.0,36000,Petrol,Manual,First Owner,Others
76,2013,550000.0,72000,Petrol,Manual,First Owner,Others
77,2004,150000.0,135154,Petrol,Automatic,First Owner,Others
78,2010,525000.0,80000,Petrol,Automatic,First Owner,Others
81,2015,475000.0,40000,Diesel,Manual,First Owner,Others
83,2015,1250000.0,38000,Diesel,Manual,First Owner,Others
85,2006,250000.0,142000,Petrol,Automatic,Others,Others
87,2012,590000.0,56000,Petrol,Manual,First Owner,Others
88,2013,345000.0,47000,Petrol,Manual,First Owner,Others
89,2014,475000.0,40000,Petrol,Manual,First Owner,Others
90,2009,380000.0,62000,Petrol,Manual,First Owner,Others
91,2014,1125000.0,58242,Diesel,Manual,First Owner,Others
92,2005,351000.0,75000,Petrol,Manual,First Owner,Others
94,2008,400000.0,89000,Petrol,Automatic,First Owner,Others
95,2012,585000.0,72000,Petrol,Manual,First Owner,Others
98,2013,705000.0,45000,Petrol,Manual,First Owner,Others
99,2010,965000.0,50024,Diesel,Manual,First Owner,Others
100,2010,325000.0,58000,Diesel,Manual,Second Owner,Hyundai
101,2015,440000.00000000006,28200,Petrol,Manual,First Owner,Hyundai
102,2011,295000.0,53460,Petrol,Manual,First Owner,Hyundai
103,2015,275000.0,28282,Petrol,Manual,First Owner,Hyundai
104,2016,525000.0,3493,Petrol,Manual,Second Owner,Hyundai
105,2017,575000.0,12479,Petrol,Manual,First Owner,Hyundai
106,2015,515000.00000000006,34797,Petrol,Automatic,First Owner,Hyundai
107,2017,790000.0,3435,Petrol,Manual,First Owner,Hyundai
108,2015,484999.99999999994,21125,Diesel,Manual,First Owner,Hyundai
109,2012,310000.0,35775,Petrol,Manual,First Owner,Hyundai
110,2015,1175000.0,43535,Diesel,Manual,First Owner,Hyundai
111,2016,1125000.0,22671,Petrol,Manual,First Owner,Hyundai
112,2011,290000.0,31604,Petrol,Manual,First Owner,Hyundai
113,2017,525000.0,20114,Petrol,Manual,First Owner,Hyundai
114,2012,450000.0,36100,Petrol,Manual,First Owner,Hyundai
115,2016,290000.0,12500,Petrol,Manual,First Owner,Hyundai
116,2016,315000.0,15000,Petrol,Manual,First Owner,Hyundai
117,2014,645000.0,45078,Petrol,Manual,First Owner,Hyundai
118,2012,450000.0,36000,Petrol,Manual,First Owner,Hyundai
119,2017,350000.0,38488,Petrol,Manual,First Owner,Hyundai
120,2013,450000.0,32000,Petrol,Automatic,First Owner,Hyundai
121,2014,600000.0,77632,Diesel,Manual,First Owner,Hyundai
122,2015,825000.0,61381,Diesel,Manual,First Owner,Hyundai
123,2013,511000.00000000006,36198,Petrol,Automatic,First Owner,Hyundai
124,2011,270000.0,22517,Petrol,Manual,First Owner,Hyundai
125,2015,525000.0,24678,Petrol,Manual,First Owner,Hyundai
126,2011,254999.99999999997,57000,Petrol,Manual,First Owner,Hyundai
127,2012,495000.0,60000,Diesel,Manual,First Owner,Hyundai
128,2012,310000.0,52132,Diesel,Manual,First Owner,Hyundai
129,2013,615000.0,45000,Diesel,Manual,First Owner,Hyundai
130,2017,925000.0,15001,Petrol,Manual,First Owner,Hyundai
131,2015,1145000.0,12900,Petrol,Automatic,First Owner,Hyundai
132,2013,390000.0,53000,Diesel,Manual,First Owner,Hyundai
133,2015,550000.0,4492,Petrol,Manual,First Owner,Hyundai
134,2017,910000.0,15141,Petrol,Manual,First Owner,Hyundai
135,2016,310000.0,11849,Petrol,Manual,First Owner,Hyundai
136,2015,1125000.0,68000,Diesel,Manual,First Owner,Hyundai
137,2013,480000.0,60241,Petrol,Manual,First Owner,Hyundai
138,2012,200000.0,23709,Petrol,Manual,First Owner,Hyundai
139,2012,535000.0,32322,Diesel,Manual,First Owner,Hyundai
140,2015,475000.0,35866,Petrol,Manual,Second Owner,Hyundai
141,2014,440000.00000000006,34000,Petrol,Manual,First Owner,Hyundai
142,2016,625000.0,7000,Petrol,Manual,First Owner,Hyundai
143,2013,595000.0,49000,Diesel,Manual,First Owner,Hyundai
144,2012,520000.0,71000,Diesel,Manual,First Owner,Hyundai
145,2012,375000.0,35000,Petrol,Manual,First Owner,Hyundai
146,2015,595000.0,36000,Petrol,Manual,First Owner,Hyundai
147,2013,400000.0,30000,Petrol,Manual,First Owner,Hyundai
148,2016,525000.0,17000,Petrol,Manual,First Owner,Hyundai
149,2016,1290000.0,35934,Diesel,Manual,First Owner,Hyundai
150,2013,500000.0,56701,Petrol,Manual,First Owner,Honda
151,2015,540000.0,31427,Petrol,Automatic,First Owner,Honda
152,2014,720000.0,48000,Diesel,Manual,First Owner,Honda
153,2013,525000.0,54242,Petrol,Manual,First Owner,Honda
154,2012,300000.0,53675,Petrol,Manual,First Owner,Honda
155,2016,1025000.0,49562,Petrol,Manual,First Owner,Honda
156,2015,850000.0,40324,Petrol,Manual,First Owner,Honda
157,2015,840000.0,25000,Petrol,Manual,First Owner,Honda
158,2014,390000.0,36054,Petrol,Manual,First Owner,Honda
159,2016,915000.0,29223,Petrol,Manual,First Owner,Honda
160,2016,550000.0,5600,Petrol,Manual,First Owner,Honda
161,2015,400000.0,40023,Petrol,Manual,First Owner,Honda
162,2016,660000.0,16002,Petrol,Manual,First Owner,Honda
163,2015,400000.0,40026,Petrol,Manual,First Owner,Honda
164,2017,650000.0,21200,Petrol,Manual,First Owner,Honda
165,2014,365000.0,35000,Petrol,Manual,First Owner,Honda
166,2016,835000.0,19434,Diesel,Manual,First Owner,Honda
167,2017,480000.0,19000,Petrol,Manual,First Owner,Honda
168,2015,670000.0,18828,Petrol,Manual,First Owner,Honda
169,2011,409999.99999999994,69341,Petrol,Manual,First Owner,Honda
170,2009,300000.0,69562,Petrol,Manual,First Owner,Honda
171,2015,750000.0,27600,Petrol,Manual,First Owner,Honda
172,2010,225000.0,61203,Petrol,Manual,First Owner,Honda
173,2014,530000.0,16500,Petrol,Manual,First Owner,Honda
174,2016,1090000.0,30753,Petrol,Automatic,First Owner,Honda
175,2015,865000.0,24800,Petrol,Manual,First Owner,Honda
176,2015,969999.9999999999,21780,Petrol,Manual,First Owner,Honda
177,2016,600000.0,4000,Petrol,Manual,First Owner,Honda
178,2014,625000.0,40126,Petrol,Manual,First Owner,Honda
179,2015,525000.0,14465,Petrol,Manual,First Owner,Honda
180,2006,210000.0,50456,Petrol,Manual,First Owner,Honda
181,2014,825000.0,63000,Diesel,Manual,First Owner,Honda
182,2016,899000.0,9010,Petrol,Manual,First Owner,Honda
183,2013,350000.0,9800,Petrol,Manual,First Owner,Honda
184,2016,740000.0,15059,Petrol,Automatic,First Owner,Honda
185,2016,565000.0,28569,Petrol,Manual,First Owner,Honda
186,2015,575000.0,44000,Petrol,Automatic,First Owner,Honda
187,2015,840000.0,34000,Petrol,Manual,First Owner,Honda
188,2016,1011000.0,10980,Petrol,Manual,First Owner,Honda
189,2014,450000.0,19000,Petrol,Manual,First Owner,Honda
190,2015,540000.0,31427,Petrol,Manual,First Owner,Honda
191,2016,640000.0,12000,Petrol,Manual,First Owner,Honda
192,2010,325000.0,38000,Petrol,Manual,First Owner,Honda
193,2014,375000.0,33019,Petrol,Manual,First Owner,Honda
194,2015,855000.0000000001,60076,Diesel,Manual,First Owner,Honda
195,2016,950000.0,33988,Diesel,Manual,First Owner,Honda
196,2015,400000.0,60000,Petrol,Manual,First Owner,Honda
197,2009,335000.0,87934,Petrol,Manual,First Owner,Honda
198,2017,1150000.0,9000,Diesel,Manual,First Owner,Honda
199,2016,530000.0,5464,Petrol,Manual,First Owner,Honda
200,2007,60000.0,70000,Petrol,Manual,First Owner,Maruti
201,2007,135000.0,50000,Petrol,Manual,First Owner,Maruti
202,2012,600000.0,100000,Diesel,Manual,First Owner,Hyundai
203,2017,250000.0,46000,Petrol,Manual,First Owner,Datsun
204,2014,450000.0,141000,Diesel,Manual,Second Owner,Honda
205,2007,140000.0,125000,Petrol,Manual,First Owner,Maruti
206,2016,550000.0,25000,Petrol,Manual,First Owner,Hyundai
207,2014,240000.0,60000,Petrol,Manual,Second Owner,Tata
208,2015,850000.0,25000,Petrol,Manual,First Owner,Hyundai
209,2017,365000.0,78000,others,Manual,First Owner,Maruti
210,2015,260000.0,35000,Petrol,Manual,First Owner,Chevrolet
211,2014,250000.0,100000,Petrol,Manual,First Owner,Tata
213,2007,60000.0,70000,Petrol,Manual,First Owner,Maruti
214,2007,135000.0,50000,Petrol,Manual,First Owner,Maruti
215,2012,600000.0,100000,Diesel,Manual,First Owner,Hyundai
216,2017,250000.0,46000,Petrol,Manual,First Owner,Datsun
217,2014,450000.0,141000,Diesel,Manual,Second Owner,Honda
218,2007,140000.0,125000,Petrol,Manual,First Owner,Maruti
219,2016,550000.0,25000,Petrol,Manual,First Owner,Hyundai
220,2014,240000.0,60000,Petrol,Manual,Second Owner,Tata
221,2015,850000.0,25000,Petrol,Manual,First Owner,Hyundai
222,2017,365000.0,78000,others,Manual,First Owner,Maruti
223,2015,260000.0,35000,Petrol,Manual,First Owner,Chevrolet
